0	0.0	0.0	0	0.0	0.0	0.0	0
5	0.32	0.4176	0	0.0	0.0	0.0	3
10	1.67	5.5411	0	0.0	1.0	2.0	12
15	2.61	16.8779	0	0.0	1.0	2.0	29
20	2.58	14.9636	0	0.0	1.0	3.0	32
25	3.24	27.2824	0	0.0	2.0	3.0	32
30	3.18	36.6876	0	0.0	1.0	3.0	32
35	3.4	24.14	0	1.0	2.0	4.0	32
40	4.19	43.0739	0	1.0	2.0	4.0	32
45	4.27	45.9171	0	0.0	2.0	4.0	32
50	4.48	31.0096	0	0.0	2.0	5.0	26
55	4.8	47.82	0	1.0	2.0	4.0	32
60	5.21	43.2859	0	1.0	3.0	5.0	32
65	5.45	59.7475	0	0.0	3.0	7.0	32
70	6.67	65.2811	0	1.0	4.0	7.0	32
75	5.35	29.8075	0	1.0	4.0	6.0	26
80	7.8	70.38	0	2.0	5.0	9.0	32
85	9.21	91.5059	0	2.0	6.0	12.0	32
90	10.92	104.6936	0	2.0	8.0	16.0	32
95	17.35	133.3075	0	5.0	17.0	32.0	32
100	32.0	0.0	32	32.0	32.0	32.0	32
