0	QUICKS	50.0	0.0	50	50.0	50.0	50.0	50	SLOWS	0.0	0.0	0	0.0	0.0	0.0	0
#(): 500
5	QUICKS	2.726	9.986924	0	0.0	2.0	4.0	21	SLOWS	2.89	13.6579	0	0.0	2.0	4.0	27
#((1, 0),): 254
#((0, 1),): 246
10	QUICKS	0.138	0.162956	0	0.0	0.0	0.0	3	SLOWS	1.01	2.2899	0	0.0	0.0	0.0	10
#((1, 0),): 241
#((0, 1),): 259
15	QUICKS	0.026	0.025324	0	0.0	0.0	0.0	1	SLOWS	0.766	1.287244	0	0.0	0.0	0.0	7
#((1, 0),): 213
#((0, 1),): 287
20	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.626	1.030124	0	0.0	0.0	0.0	9
#((1, 0),): 223
#((0, 1),): 277
25	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.512	0.745856	0	0.0	0.0	0.0	5
#((1, 0),): 187
#((0, 1),): 313
30	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.472	0.741216	0	0.0	0.0	0.0	8
#((1, 0),): 202
#((0, 1),): 298
35	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.432	0.641376	0	0.0	0.0	0.0	6
#((1, 0),): 176
#((0, 1),): 324
40	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.302	0.402796	0	0.0	0.0	0.0	5
#((1, 0),): 158
#((0, 1),): 342
45	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.282	0.342476	0	0.0	0.0	0.0	4
#((1, 0),): 135
#((0, 1),): 365
50	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.206	0.259564	0	0.0	0.0	0.0	5
#((1, 0),): 134
#((0, 1),): 366
55	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.216	0.257344	0	0.0	0.0	0.0	3
#((1, 0),): 105
#((0, 1),): 395
60	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.164	0.205104	0	0.0	0.0	0.0	4
#((1, 0),): 100
#((0, 1),): 400
65	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.114	0.121004	0	0.0	0.0	0.0	2
#((1, 0),): 80
#((0, 1),): 420
70	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.072	0.070816	0	0.0	0.0	0.0	2
#((1, 0),): 55
#((0, 1),): 445
75	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.052	0.061296	0	0.0	0.0	0.0	3
#((1, 0),): 45
#((0, 1),): 455
80	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.036	0.034704	0	0.0	0.0	0.0	1
#((1, 0),): 27
#((0, 1),): 473
85	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.022	0.021516	0	0.0	0.0	0.0	1
#((1, 0),): 14
#((0, 1),): 486
90	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.012	0.011856	0	0.0	0.0	0.0	1
#((1, 0),): 10
#((0, 1),): 490
95	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.004	0.003984	0	0.0	0.0	0.0	1
#((0, 1),): 500
100	QUICKS	0.0	0.0	0	0.0	0.0	0.0	0	SLOWS	0.0	0.0	0	0.0	0.0	0.0	0
#((0, 1),): 500
